description,poster,rating,title,votes
"Lupin III goes on a grand adventure to uncover the secrets of the Bresson Diary, which is tied to the legacy of his famous grandfather.","https://m.media-amazon.com/images/M/MV5BOGIyMmRiZWItZTQ1Yi00OGQzLTk5YzItOGYzOTQ0NGI5MDBiXkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_QL75_UY281_CR5,0,190,281_.jpg",6.9,Lupin III: The First,2.5K
"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage.","https://m.media-amazon.com/images/M/MV5BMTMxMjY0NzE2M15BMl5BanBnXkFtZTcwNTc3ODcyMw@@._V1_QL75_UY281_CR0,0,190,281_.jpg",6.0,Shark Tale,173K
The continuing adventures of the staff of the ghost removal service.,"https://m.media-amazon.com/images/M/MV5BZmI5NTEzODEtZGIyMi00ZWUxLTk2NGYtMTUyMmRjNzMxZjI5XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.6,The Real Ghost Busters,9.2K
"On the planet Eternia, a young prince gains the ability to become a powerful warrior to defend Castle Grayskull against the dark lord Skeletor.","https://m.media-amazon.com/images/M/MV5BMzA4M2FjNWUtZGU3Ni00ZWM1LTg4YTItM2RhOGI4NDQ5ZDRjXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.4,He-Man and the Masters of the Universe,3.1K
A wealthy playboy and a Chicago cop both return to Gotham City where their lives will intersect in unexpected ways.,"https://m.media-amazon.com/images/M/MV5BNTJjMmVkZjctNjNjMS00ZmI2LTlmYWEtOWNiYmQxYjY0YWVhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.4,Batman: Year One,33K
"The story of Koko, a young boy raised by Pokémon, and the creation of a new bond between humans and Pokémon.","https://m.media-amazon.com/images/M/MV5BMTRmOGE4ZTgtODc5YS00YTdmLWJjZDUtNWExODA5NTgyNGY3XkEyXkFqcGdeQXVyNzYzNjg0NDk@._V1_QL75_UY281_CR5,0,190,281_.jpg",8.1,Gekijouban Poketto monsutâ: koko,268
"A young humanoid alligator travels to the big city in hopes of reuniting with his estranged father, meeting a colorful cast of characters along the way.","https://m.media-amazon.com/images/M/MV5BM2UxODlhMjItZjA5ZC00ZTdlLWIwNGYtOTgwMTI0MGVkNjNhXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UY281_CR6,0,190,281_.jpg",6.7,Arlo the Alligator Boy,881
"Federation trooper, Johnny Rico's ordered to work with a group of new recruits on a satellite station on Mars, where giant bugs have decided to target their next attack.","https://m.media-amazon.com/images/M/MV5BYzM4OWNlM2UtYjdiMi00MGIxLTg4NzMtZWM2MWViZjMyMzA4XkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_QL75_UY281_CR5,0,190,281_.jpg",5.5,Starship Troopers: Traitor of Mars,5.5K
"Jack, a man desperate to improve his life throws away his beloved childhood plush, Benny. It's a move that has disastrous consequences when Benny springs to life with deadly intentions.","https://m.media-amazon.com/images/M/MV5BMGQ3MDZkZmEtMzRiYy00YTQ2LTk1YzktNGFjMDBjYzJmM2U2XkEyXkFqcGdeQXVyOTMzOTMzMTg@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.6,Benny Loves You,1.4K
"Three members of the Joestar family, a clan of psychic fighters, set out on a quest to destroy their family's ancient enemy.","https://m.media-amazon.com/images/M/MV5BMmU0NWIzNDEtODBhOC00MWFmLWJhNmYtMzlmMWEzMDk2M2U5XkEyXkFqcGdeQXVyMTQzMjAzNTk@._V1_QL75_UY281_CR2,0,190,281_.jpg",7.8,Jojo no kimyô na bôken,1.2K
"After being tortured and transformed, Kaneki leaves Anteku and joins Aogiri tree in order to protect his friends. While he tries to get stronger, Touka decides to enroll in college while they all try to recover from Kaneki leaving.","https://m.media-amazon.com/images/M/MV5BOWZmMDdhNTktZTRlZC00YzExLTk2ZTAtM2IxNjc4YzBlYmY0XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UY281_CR4,0,190,281_.jpg",7.6,Tokyo Ghoul: Root A,13K
A collection of key events mark Bruce Wayne's life as he journeys from beginner to Dark Knight.,"https://m.media-amazon.com/images/M/MV5BM2I0YTFjOTUtMWYzNC00ZTgyLTk2NWEtMmE3N2VlYjEwN2JlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.7,Batman: Gotham Knight,27K
